date	negatives	positives	deaths
2020-03-01		31	6	1
2020-03-02			18	5
2020-03-03			27	9
2020-03-05			39	10
2020-03-06			70	10
2020-03-07			79	11
2020-03-08			102	16
2020-03-09			136	18
2020-03-10			162	22
2020-03-11		2175	267	24
2020-03-12		3037	366	29
2020-03-13		4350	457	31
2020-03-14		7122	642	40
2020-03-15		9451	769	42
2020-03-18		15918	1187	66
2020-03-19		19336	1376	74
2020-03-20		21719	1524	83
2020-03-21		25328	1793	94
2020-03-22		28879	1996	95
2020-03-23		31712	2221	110
2020-03-24		31712	2469	123
2020-03-25		31712	2580	132
2020-03-26		43173	3207	147
2020-03-27		49015	3723	175
2020-03-28		54896	4310	189
2020-03-29			5062	195
2020-03-30		65462	5515	
2020-03-31		68814	5984	247
2020-04-01		72833	6585	262
2020-04-02		75633	6966	284
2020-04-03	83391		7984	338
2020-04-05	87902		8384	372
2020-04-07			9097	421
2020-04-08	88044		9608	446
2020-04-09	88006		9887	475
2020-04-10			10224	491
2020-04-11	87856		10411	508
2020-04-14	122854	112160	10694	541
2020-04-15	128900	117748	11152	583
2020-04-17	135706	120182	11445	624
2020-04-18	138642	126852	11790	634
2020-04-21	145031	132749	12282	682
